date,hospital,blood_group,demand_units,is_emergency
2022-03-27,Tema General Hospital,Whole Blood / RBC,34,0
2022-03-28,Tema General Hospital,Whole Blood / RBC,49,1
2022-03-29,Tema General Hospital,Whole Blood / RBC,54,1
2022-03-30,Tema General Hospital,Whole Blood / RBC,38,0
2022-03-31,Tema General Hospital,Whole Blood / RBC,60,0
2022-04-01,Tema General Hospital,Whole Blood / RBC,45,0
2022-04-02,Tema General Hospital,Whole Blood / RBC,28,1
2022-04-03,Tema General Hospital,Whole Blood / RBC,40,0
2022-04-04,Tema General Hospital,Whole Blood / RBC,38,0
2022-04-05,Tema General Hospital,Whole Blood / RBC,57,1
2022-04-06,Tema General Hospital,Whole Blood / RBC,43,0
2022-04-07,Tema General Hospital,Whole Blood / RBC,59,0
2022-04-08,Tema General Hospital,Whole Blood / RBC,53,0
2022-04-09,Tema General Hospital,Whole Blood / RBC,35,0
2022-04-10,Tema General Hospital,Whole Blood / RBC,49,0
2022-04-11,Tema General Hospital,Whole Blood / RBC,40,1
2022-04-12,Tema General Hospital,Whole Blood / RBC,30,1
2022-04-13,Tema General Hospital,Whole Blood / RBC,38,0
2022-04-14,Tema General Hospital,Whole Blood / RBC,54,0
2022-04-15,Tema General Hospital,Whole Blood / RBC,62,0
2022-04-16,Tema General Hospital,Whole Blood / RBC,33,1
2022-04-17,Tema General Hospital,Whole Blood / RBC,45,0
2022-04-18,Tema General Hospital,Whole Blood / RBC,43,0
2022-04-19,Tema General Hospital,Whole Blood / RBC,50,0
2022-04-20,Tema General Hospital,Whole Blood / RBC,39,0
2022-04-21,Tema General Hospital,Whole Blood / RBC,66,0
2022-04-22,Tema General Hospital,Whole Blood / RBC,53,0
2022-04-23,Tema General Hospital,Whole Blood / RBC,30,0
2022-04-24,Tema General Hospital,Whole Blood / RBC,46,1
2022-04-25,Tema General Hospital,Whole Blood / RBC,43,0
2022-04-26,Tema General Hospital,Whole Blood / RBC,47,0
2022-04-27,Tema General Hospital,Whole Blood / RBC,52,1
2022-04-28,Tema General Hospital,Whole Blood / RBC,51,0
2022-04-29,Tema General Hospital,Whole Blood / RBC,63,0
2022-04-30,Tema General Hospital,Whole Blood / RBC,26,0
2022-05-01,Tema General Hospital,Whole Blood / RBC,25,0
2022-05-02,Tema General Hospital,Whole Blood / RBC,45,0
2022-05-03,Tema General Hospital,Whole Blood / RBC,55,1
2022-05-04,Tema General Hospital,Whole Blood / RBC,58,0
2022-05-05,Tema General Hospital,Whole Blood / RBC,50,0
2022-05-06,Tema General Hospital,Whole Blood / RBC,48,0
2022-05-07,Tema General Hospital,Whole Blood / RBC,33,1
2022-05-08,Tema General Hospital,Whole Blood / RBC,29,0
2022-05-09,Tema General Hospital,Whole Blood / RBC,48,0
2022-05-10,Tema General Hospital,Whole Blood / RBC,47,0
2022-05-11,Tema General Hospital,Whole Blood / RBC,46,0
2022-05-12,Tema General Hospital,Whole Blood / RBC,48,0
2022-05-13,Tema General Hospital,Whole Blood / RBC,40,1
2022-05-14,Tema General Hospital,Whole Blood / RBC,43,0
2022-05-15,Tema General Hospital,Whole Blood / RBC,47,0
2022-05-16,Tema General Hospital,Whole Blood / RBC,50,0
2022-05-17,Tema General Hospital,Whole Blood / RBC,50,1
2022-05-18,Tema General Hospital,Whole Blood / RBC,43,0
2022-05-19,Tema General Hospital,Whole Blood / RBC,41,0
2022-05-20,Tema General Hospital,Whole Blood / RBC,33,0
2022-05-21,Tema General Hospital,Whole Blood / RBC,29,0
2022-05-22,Tema General Hospital,Whole Blood / RBC,29,0
2022-05-23,Tema General Hospital,Whole Blood / RBC,46,1
2022-05-24,Tema General Hospital,Whole Blood / RBC,49,1
2022-05-25,Tema General Hospital,Whole Blood / RBC,51,0
2022-05-26,Tema General Hospital,Whole Blood / RBC,44,0
2022-05-27,Tema General Hospital,Whole Blood / RBC,36,0
2022-05-28,Tema General Hospital,Whole Blood / RBC,39,0
2022-05-29,Tema General Hospital,Whole Blood / RBC,23,0
2022-05-30,Tema General Hospital,Whole Blood / RBC,38,0
2022-05-31,Tema General Hospital,Whole Blood / RBC,36,0
2022-06-01,Tema General Hospital,Whole Blood / RBC,41,0
2022-06-02,Tema General Hospital,Whole Blood / RBC,34,0
2022-06-03,Tema General Hospital,Whole Blood / RBC,76,0
2022-06-04,Tema General Hospital,Whole Blood / RBC,25,0
2022-06-05,Tema General Hospital,Whole Blood / RBC,30,0
2022-06-06,Tema General Hospital,Whole Blood / RBC,43,0
2022-06-07,Tema General Hospital,Whole Blood / RBC,61,0
2022-06-08,Tema General Hospital,Whole Blood / RBC,57,0
2022-06-09,Tema General Hospital,Whole Blood / RBC,28,0
2022-06-10,Tema General Hospital,Whole Blood / RBC,36,0
2022-06-11,Tema General Hospital,Whole Blood / RBC,33,0
2022-06-12,Tema General Hospital,Whole Blood / RBC,21,0
2022-06-13,Tema General Hospital,Whole Blood / RBC,39,1
2022-06-14,Tema General Hospital,Whole Blood / RBC,28,0
2022-06-15,Tema General Hospital,Whole Blood / RBC,22,0
2022-06-16,Tema General Hospital,Whole Blood / RBC,80,0
2022-06-17,Tema General Hospital,Whole Blood / RBC,70,0
2022-06-18,Tema General Hospital,Whole Blood / RBC,22,0
2022-06-19,Tema General Hospital,Whole Blood / RBC,37,0
2022-06-20,Tema General Hospital,Whole Blood / RBC,66,0
2022-06-21,Tema General Hospital,Whole Blood / RBC,37,0
2022-06-22,Tema General Hospital,Whole Blood / RBC,34,0
2022-06-23,Tema General Hospital,Whole Blood / RBC,32,0
2022-06-24,Tema General Hospital,Whole Blood / RBC,40,1
2022-06-25,Tema General Hospital,Whole Blood / RBC,32,0
2022-06-26,Tema General Hospital,Whole Blood / RBC,19,0
2022-06-27,Tema General Hospital,Whole Blood / RBC,45,0
2022-06-28,Tema General Hospital,Whole Blood / RBC,38,1
2022-06-29,Tema General Hospital,Whole Blood / RBC,45,0
2022-06-30,Tema General Hospital,Whole Blood / RBC,26,0
2022-07-01,Tema General Hospital,Whole Blood / RBC,38,0
2022-07-02,Tema General Hospital,Whole Blood / RBC,22,0
2022-07-03,Tema General Hospital,Whole Blood / RBC,28,0
2022-07-04,Tema General Hospital,Whole Blood / RBC,36,0
2022-07-05,Tema General Hospital,Whole Blood / RBC,39,0
2022-07-06,Tema General Hospital,Whole Blood / RBC,24,0
2022-07-07,Tema General Hospital,Whole Blood / RBC,42,0
2022-07-08,Tema General Hospital,Whole Blood / RBC,30,0
2022-07-09,Tema General Hospital,Whole Blood / RBC,17,0
2022-07-10,Tema General Hospital,Whole Blood / RBC,26,0
2022-07-11,Tema General Hospital,Whole Blood / RBC,43,0
2022-07-12,Tema General Hospital,Whole Blood / RBC,30,1
2022-07-13,Tema General Hospital,Whole Blood / RBC,34,0
2022-07-14,Tema General Hospital,Whole Blood / RBC,35,0
2022-07-15,Tema General Hospital,Whole Blood / RBC,26,0
2022-07-16,Tema General Hospital,Whole Blood / RBC,26,1
2022-07-17,Tema General Hospital,Whole Blood / RBC,17,0
2022-07-18,Tema General Hospital,Whole Blood / RBC,30,0
2022-07-19,Tema General Hospital,Whole Blood / RBC,35,0
2022-07-20,Tema General Hospital,Whole Blood / RBC,39,0
2022-07-21,Tema General Hospital,Whole Blood / RBC,43,0
2022-07-22,Tema General Hospital,Whole Blood / RBC,26,0
2022-07-23,Tema General Hospital,Whole Blood / RBC,25,0
2022-07-24,Tema General Hospital,Whole Blood / RBC,15,1
2022-07-25,Tema General Hospital,Whole Blood / RBC,27,0
2022-07-26,Tema General Hospital,Whole Blood / RBC,35,0
2022-07-27,Tema General Hospital,Whole Blood / RBC,31,0
2022-07-28,Tema General Hospital,Whole Blood / RBC,23,0
2022-07-29,Tema General Hospital,Whole Blood / RBC,38,0
2022-07-30,Tema General Hospital,Whole Blood / RBC,47,0
2022-07-31,Tema General Hospital,Whole Blood / RBC,21,0
2022-08-01,Tema General Hospital,Whole Blood / RBC,54,1
2022-08-02,Tema General Hospital,Whole Blood / RBC,25,1
2022-08-03,Tema General Hospital,Whole Blood / RBC,32,0
2022-08-04,Tema General Hospital,Whole Blood / RBC,37,0
2022-08-05,Tema General Hospital,Whole Blood / RBC,65,1
2022-08-06,Tema General Hospital,Whole Blood / RBC,19,0
2022-08-07,Tema General Hospital,Whole Blood / RBC,18,1
2022-08-08,Tema General Hospital,Whole Blood / RBC,30,0
2022-08-09,Tema General Hospital,Whole Blood / RBC,28,0
2022-08-10,Tema General Hospital,Whole Blood / RBC,34,0
2022-08-11,Tema General Hospital,Whole Blood / RBC,22,0
2022-08-12,Tema General Hospital,Whole Blood / RBC,23,0
2022-08-13,Tema General Hospital,Whole Blood / RBC,18,0
2022-08-14,Tema General Hospital,Whole Blood / RBC,20,0
2022-08-15,Tema General Hospital,Whole Blood / RBC,27,0
2022-08-16,Tema General Hospital,Whole Blood / RBC,32,0
2022-08-17,Tema General Hospital,Whole Blood / RBC,32,1
2022-08-18,Tema General Hospital,Whole Blood / RBC,32,0
2022-08-19,Tema General Hospital,Whole Blood / RBC,24,1
2022-08-20,Tema General Hospital,Whole Blood / RBC,15,0
2022-08-21,Tema General Hospital,Whole Blood / RBC,20,0
2022-08-22,Tema General Hospital,Whole Blood / RBC,25,1
2022-08-23,Tema General Hospital,Whole Blood / RBC,34,0
2022-08-24,Tema General Hospital,Whole Blood / RBC,31,0
2022-08-25,Tema General Hospital,Whole Blood / RBC,21,0
2022-08-26,Tema General Hospital,Whole Blood / RBC,28,0
2022-08-27,Tema General Hospital,Whole Blood / RBC,18,0
2022-08-28,Tema General Hospital,Whole Blood / RBC,32,1
2022-08-29,Tema General Hospital,Whole Blood / RBC,27,0
2022-08-30,Tema General Hospital,Whole Blood / RBC,24,0
2022-08-31,Tema General Hospital,Whole Blood / RBC,32,0
2022-09-01,Tema General Hospital,Whole Blood / RBC,31,0
2022-09-02,Tema General Hospital,Whole Blood / RBC,33,0
2022-09-03,Tema General Hospital,Whole Blood / RBC,23,0
2022-09-04,Tema General Hospital,Whole Blood / RBC,20,0
2022-09-05,Tema General Hospital,Whole Blood / RBC,19,0
2022-09-06,Tema General Hospital,Whole Blood / RBC,24,0
2022-09-07,Tema General Hospital,Whole Blood / RBC,24,0
2022-09-08,Tema General Hospital,Whole Blood / RBC,46,0
2022-09-09,Tema General Hospital,Whole Blood / RBC,30,0
2022-09-10,Tema General Hospital,Whole Blood / RBC,23,1
2022-09-11,Tema General Hospital,Whole Blood / RBC,9,0
2022-09-12,Tema General Hospital,Whole Blood / RBC,32,0
2022-09-13,Tema General Hospital,Whole Blood / RBC,33,0
2022-09-14,Tema General Hospital,Whole Blood / RBC,17,0
2022-09-15,Tema General Hospital,Whole Blood / RBC,28,0
2022-09-16,Tema General Hospital,Whole Blood / RBC,29,0
2022-09-17,Tema General Hospital,Whole Blood / RBC,22,0
2022-09-18,Tema General Hospital,Whole Blood / RBC,17,0
2022-09-19,Tema General Hospital,Whole Blood / RBC,24,0
2022-09-20,Tema General Hospital,Whole Blood / RBC,31,0
2022-09-21,Tema General Hospital,Whole Blood / RBC,34,0
2022-09-22,Tema General Hospital,Whole Blood / RBC,28,0
2022-09-23,Tema General Hospital,Whole Blood / RBC,28,1
2022-09-24,Tema General Hospital,Whole Blood / RBC,13,1
2022-09-25,Tema General Hospital,Whole Blood / RBC,10,0
2022-09-26,Tema General Hospital,Whole Blood / RBC,26,1
2022-09-27,Tema General Hospital,Whole Blood / RBC,38,1
2022-09-28,Tema General Hospital,Whole Blood / RBC,30,0
2022-09-29,Tema General Hospital,Whole Blood / RBC,28,0
2022-09-30,Tema General Hospital,Whole Blood / RBC,22,0
2022-10-01,Tema General Hospital,Whole Blood / RBC,16,0
2022-10-02,Tema General Hospital,Whole Blood / RBC,11,0
2022-10-03,Tema General Hospital,Whole Blood / RBC,42,0
2022-10-04,Tema General Hospital,Whole Blood / RBC,26,0
2022-10-05,Tema General Hospital,Whole Blood / RBC,28,0
2022-10-06,Tema General Hospital,Whole Blood / RBC,21,1
2022-10-07,Tema General Hospital,Whole Blood / RBC,22,0
2022-10-08,Tema General Hospital,Whole Blood / RBC,10,0
2022-10-09,Tema General Hospital,Whole Blood / RBC,20,0
2022-10-10,Tema General Hospital,Whole Blood / RBC,26,0
2022-10-11,Tema General Hospital,Whole Blood / RBC,36,1
2022-10-12,Tema General Hospital,Whole Blood / RBC,18,0
2022-10-13,Tema General Hospital,Whole Blood / RBC,19,0
2022-10-14,Tema General Hospital,Whole Blood / RBC,27,0
2022-10-15,Tema General Hospital,Whole Blood / RBC,16,0
2022-10-16,Tema General Hospital,Whole Blood / RBC,13,0
2022-10-17,Tema General Hospital,Whole Blood / RBC,25,0
2022-10-18,Tema General Hospital,Whole Blood / RBC,35,0
2022-10-19,Tema General Hospital,Whole Blood / RBC,28,0
2022-10-20,Tema General Hospital,Whole Blood / RBC,32,0
2022-10-21,Tema General Hospital,Whole Blood / RBC,29,1
2022-10-22,Tema General Hospital,Whole Blood / RBC,13,0
2022-10-23,Tema General Hospital,Whole Blood / RBC,18,1
2022-10-24,Tema General Hospital,Whole Blood / RBC,50,0
2022-10-25,Tema General Hospital,Whole Blood / RBC,26,0
2022-10-26,Tema General Hospital,Whole Blood / RBC,20,0
2022-10-27,Tema General Hospital,Whole Blood / RBC,31,0
2022-10-28,Tema General Hospital,Whole Blood / RBC,18,0
2022-10-29,Tema General Hospital,Whole Blood / RBC,25,0
2022-10-30,Tema General Hospital,Whole Blood / RBC,19,0
2022-10-31,Tema General Hospital,Whole Blood / RBC,29,1
2022-11-01,Tema General Hospital,Whole Blood / RBC,29,0
2022-11-02,Tema General Hospital,Whole Blood / RBC,31,0
2022-11-03,Tema General Hospital,Whole Blood / RBC,36,0
2022-11-04,Tema General Hospital,Whole Blood / RBC,28,0
2022-11-05,Tema General Hospital,Whole Blood / RBC,15,0
2022-11-06,Tema General Hospital,Whole Blood / RBC,18,0
2022-11-07,Tema General Hospital,Whole Blood / RBC,51,0
2022-11-08,Tema General Hospital,Whole Blood / RBC,26,0
2022-11-09,Tema General Hospital,Whole Blood / RBC,31,0
2022-11-10,Tema General Hospital,Whole Blood / RBC,47,0
2022-11-11,Tema General Hospital,Whole Blood / RBC,31,1
2022-11-12,Tema General Hospital,Whole Blood / RBC,15,0
2022-11-13,Tema General Hospital,Whole Blood / RBC,17,0
2022-11-14,Tema General Hospital,Whole Blood / RBC,38,0
2022-11-15,Tema General Hospital,Whole Blood / RBC,26,0
2022-11-16,Tema General Hospital,Whole Blood / RBC,42,0
2022-11-17,Tema General Hospital,Whole Blood / RBC,33,0
2022-11-18,Tema General Hospital,Whole Blood / RBC,27,0
2022-11-19,Tema General Hospital,Whole Blood / RBC,17,0
2022-11-20,Tema General Hospital,Whole Blood / RBC,25,0
2022-11-21,Tema General Hospital,Whole Blood / RBC,23,0
2022-11-22,Tema General Hospital,Whole Blood / RBC,32,1
2022-11-23,Tema General Hospital,Whole Blood / RBC,27,0
2022-11-24,Tema General Hospital,Whole Blood / RBC,29,0
2022-11-25,Tema General Hospital,Whole Blood / RBC,33,1
2022-11-26,Tema General Hospital,Whole Blood / RBC,17,1
2022-11-27,Tema General Hospital,Whole Blood / RBC,22,0
2022-11-28,Tema General Hospital,Whole Blood / RBC,31,0
2022-11-29,Tema General Hospital,Whole Blood / RBC,29,0
2022-11-30,Tema General Hospital,Whole Blood / RBC,25,1
2022-12-01,Tema General Hospital,Whole Blood / RBC,36,1
2022-12-02,Tema General Hospital,Whole Blood / RBC,28,0
2022-12-03,Tema General Hospital,Whole Blood / RBC,17,0
2022-12-04,Tema General Hospital,Whole Blood / RBC,21,0
2022-12-05,Tema General Hospital,Whole Blood / RBC,47,0
2022-12-06,Tema General Hospital,Whole Blood / RBC,30,0
2022-12-07,Tema General Hospital,Whole Blood / RBC,63,1
2022-12-08,Tema General Hospital,Whole Blood / RBC,33,0
2022-12-09,Tema General Hospital,Whole Blood / RBC,37,1
2022-12-10,Tema General Hospital,Whole Blood / RBC,19,1
2022-12-11,Tema General Hospital,Whole Blood / RBC,17,0
2022-12-12,Tema General Hospital,Whole Blood / RBC,21,0
2022-12-13,Tema General Hospital,Whole Blood / RBC,34,0
2022-12-14,Tema General Hospital,Whole Blood / RBC,35,0
2022-12-15,Tema General Hospital,Whole Blood / RBC,33,0
2022-12-16,Tema General Hospital,Whole Blood / RBC,34,0
2022-12-17,Tema General Hospital,Whole Blood / RBC,38,0
2022-12-18,Tema General Hospital,Whole Blood / RBC,23,0
2022-12-19,Tema General Hospital,Whole Blood / RBC,48,0
2022-12-20,Tema General Hospital,Whole Blood / RBC,34,0
2022-12-21,Tema General Hospital,Whole Blood / RBC,44,0
2022-12-22,Tema General Hospital,Whole Blood / RBC,50,0
2022-12-23,Tema General Hospital,Whole Blood / RBC,27,0
2022-12-24,Tema General Hospital,Whole Blood / RBC,19,0
2022-12-25,Tema General Hospital,Whole Blood / RBC,32,0
2022-12-26,Tema General Hospital,Whole Blood / RBC,35,0
2022-12-27,Tema General Hospital,Whole Blood / RBC,37,0
2022-12-28,Tema General Hospital,Whole Blood / RBC,32,0
2022-12-29,Tema General Hospital,Whole Blood / RBC,41,1
2022-12-30,Tema General Hospital,Whole Blood / RBC,37,0
2022-12-31,Tema General Hospital,Whole Blood / RBC,24,0
